Project;Version;Class;wmc;dit;noc;cbo;rfc;lcom;ca;ce;npm;lcom3;loc;dam;moa;mfa;cam;ic;cbm;amc;nr;ndc;nml;isOld;ndpv;ner;bugs
velocity;1.5;org.apache.velocity.app.event.ReferenceInsertionEventHandler;1;1;0;5;1;0;4;1;1;2.0;1;0.0;0;0.0;1.0;0;0;0.0;2;2;-;1;0;-;1
velocity;1.5;org.apache.velocity.runtime.parser.node.ASTEscapedDirective;4;2;0;7;10;6;4;5;4;2.0;28;0.0;0;0.93333334;0.39285713;0;0;6.0;3;1;-;1;1;-;0
velocity;1.5;org.apache.velocity.runtime.parser.node.SimpleNode;30;1;43;68;49;359;59;12;30;0.9028213;382;0.90909094;7;0.0;0.17666666;1;1;11.366667;13;2;-;1;1;-;5
velocity;1.5;org.apache.velocity.util.introspection.SecureIntrospectorControl;1;1;0;2;1;0;2;0;1;2.0;1;0.0;0;0.0;1.0;0;0;0.0;0;0;-;1;0;-;1
velocity;1.5;org.apache.velocity.context.AbstractContext;13;2;1;5;17;66;1;4;13;0.75;95;1.0;1;0.5217391;0.46153846;0;0;6.230769;8;4;-;1;0;-;1
velocity;1.5;org.apache.velocity.runtime.resource.util.StringResource;7;1;0;3;9;11;3;0;7;0.6111111;43;1.0;0;0.0;0.52380955;0;0;4.714286;0;0;-;1;0;-;1
velocity;1.5;org.apache.velocity.runtime.resource.util.StringResourceRepository;5;1;0;4;5;10;3;1;5;2.0;5;0.0;0;0.0;0.9;0;0;0.0;0;0;-;1;0;-;2
velocity;1.5;org.apache.velocity.runtime.VelocimacroFactory$1;0;1;0;2;0;0;2;0;0;2.0;0;0.0;0;0.0;0.0;0;0;0.0;-;0;-;-;0;-;0
velocity;1.5;org.apache.velocity.runtime.parser.Parser$JJCalls;1;1;0;2;2;0;1;1;0;2.0;8;0.0;2;0.0;1.0;0;0;3.0;-;0;-;-;0;-;0
velocity;1.5;org.apache.velocity.app.tools.VelocityFormatter$VelocityAutoAlternator;2;2;0;2;4;1;1;2;2;1.0;22;1.0;1;0.6666667;0.6666667;0;0;9.5;-;0;-;-;0;-;0
velocity;1.5;org.apache.velocity.app.event.IncludeEventHandler;1;1;0;6;1;0;5;1;1;2.0;1;0.0;0;0.0;1.0;0;0;0.0;0;0;-;1;0;-;1
velocity;1.5;org.apache.velocity.runtime.log.LogChute;4;1;0;13;4;6;12;1;4;1.3333334;14;0.0;0;0.0;0.55;0;0;0.0;0;0;-;1;2;-;1
velocity;1.5;org.apache.velocity.runtime.parser.node.ASTGENode;5;2;0;11;21;10;4;9;5;2.0;153;0.0;0;0.9032258;0.4;1;1;29.6;9;2;-;1;1;-;1
velocity;1.5;org.apache.velocity.util.ExceptionUtils;6;1;0;7;20;9;7;0;4;0.7;185;0.25;0;0.0;0.4;0;0;29.166666;0;0;-;1;0;-;1
velocity;1.5;org.apache.velocity.util.introspection.VelMethod;4;1;0;4;4;6;4;0;4;2.0;4;0.0;0;0.0;0.5;0;0;0.0;2;1;-;1;0;-;0
velocity;1.5;org.apache.velocity.runtime.directive.Directive;8;1;5;19;9;16;12;8;8;0.7619048;40;1.0;1;0.0;0.3125;0;0;3.625;18;4;-;1;3;-;1
velocity;1.5;org.apache.velocity.runtime.log.Log4JLogChute;9;1;1;12;50;0;1;11;6;0.6458333;316;0.6666667;1;0.0;0.37777779;0;0;33.444443;0;0;-;1;2;-;3
velocity;1.5;org.apache.velocity.runtime.parser.node.ASTIfStatement;5;2;0;10;12;10;4;8;5;2.0;62;0.0;0;0.9032258;0.4;1;2;11.4;9;3;-;1;0;-;0
velocity;1.5;org.apache.velocity.runtime.resource.loader.ResourceLoader;12;1;6;16;28;40;12;5;11;0.8484849;159;0.8333333;2;0.0;0.23809524;0;0;11.75;14;4;-;1;1;-;2
velocity;1.5;org.apache.velocity.runtime.log.HoldingLogChute;6;1;1;5;17;3;3;2;5;0.4;141;1.0;0;0.0;0.3888889;0;0;22.333334;0;0;-;1;2;-;1
velocity;1.5;org.apache.velocity.anakia.AnakiaJDOMFactory;5;2;0;5;10;10;1;4;5;2.0;32;0.0;0;0.86206895;0.6666667;0;0;5.4;2;2;-;1;0;-;0
velocity;1.5;org.apache.velocity.app.event.EventCartridge;15;1;0;18;27;29;10;10;15;0.6904762;365;0.8333333;0;0.0;0.17777778;0;0;22.933332;3;1;-;1;0;-;2
velocity;1.5;org.apache.velocity.anakia.OutputWrapper;3;2;0;4;8;3;1;3;3;2.0;23;0.0;0;0.9846154;0.5;1;1;6.6666665;6;2;-;1;0;-;0
velocity;1.5;org.apache.velocity.runtime.log.PrimordialLogSystem;3;2;0;4;7;3;0;4;3;2.0;18;0.0;0;0.71428573;0.5;0;0;5.0;4;2;-;1;0;-;0
velocity;1.5;org.apache.velocity.runtime.parser.Token;3;1;0;24;4;3;24;0;3;1.4375;23;0.0;2;0.0;0.5;0;0;4.0;5;3;-;1;0;-;0
velocity;1.5;org.apache.velocity.app.event.implement.EscapeHtmlReference;3;2;0;2;6;3;0;2;1;2.0;12;0.0;0;0.71428573;0.6666667;1;2;3.0;0;0;-;1;0;-;1
velocity;1.5;org.apache.velocity.app.event.implement.PrintExceptions;5;1;0;3;19;2;0;3;3;0.6666667;157;1.0;1;0.0;0.33333334;0;0;29.8;0;0;-;1;0;-;1
velocity;1.5;org.apache.velocity.runtime.parser.node.ASTBlock;4;2;0;10;10;6;4;8;4;2.0;37;0.0;0;0.93333334;0.39285713;1;1;8.25;5;2;-;1;0;-;0
velocity;1.5;org.apache.velocity.util.EnumerationIterator;4;1;0;1;7;0;1;0;4;0.33333334;23;1.0;0;0.0;0.625;0;0;4.5;1;1;-;1;0;-;0
velocity;1.5;org.apache.velocity.runtime.parser.ParseException;5;3;2;16;18;0;15;1;4;0.6666667;388;0.5;1;0.8666667;0.4;1;1;75.4;4;3;-;1;0;-;0
velocity;1.5;org.apache.velocity.runtime.resource.ResourceCache;5;1;0;4;5;10;2;2;5;2.0;5;0.0;0;0.0;0.5;0;0;0.0;1;1;-;1;0;-;0
velocity;1.5;org.apache.velocity.runtime.parser.node.ASTAssignment;3;2;0;5;6;3;4;3;3;2.0;17;0.0;0;0.9655172;0.53333336;0;0;4.6666665;3;2;-;1;0;-;0
velocity;1.5;org.apache.velocity.runtime.parser.TemplateParseException;9;4;0;4;19;8;1;3;8;0.75;280;1.0;0;0.75;0.33333334;1;2;29.88889;0;0;-;1;0;-;2
velocity;1.5;org.apache.velocity.runtime.log.Log;21;1;2;74;28;208;72;2;17;0.0;145;1.0;1;0.0;0.40952381;0;0;5.857143;0;0;-;1;0;-;4
velocity;1.5;org.apache.velocity.runtime.parser.node.ASTIdentifier;5;2;0;16;33;0;4;14;5;0.5;249;1.0;1;0.9032258;0.46666667;0;0;48.4;19;3;-;1;0;-;3
velocity;1.5;org.apache.velocity.runtime.parser.node.SetExecutor;5;1;3;6;6;0;5;1;4;0.625;30;1.0;1;0.0;0.46666667;0;0;4.6;0;0;-;1;0;-;1
velocity;1.5;org.apache.velocity.runtime.resource.util.StringResourceRepositoryImpl;6;1;0;2;13;0;0;2;6;0.4;51;1.0;0;0.0;0.8333333;0;0;7.1666665;0;0;-;1;0;-;2
velocity;1.5;org.apache.velocity.runtime.parser.node.ASTAddNode;4;2;0;11;22;6;4;9;4;2.0;155;0.0;0;0.93333334;0.41666666;1;1;37.75;8;3;-;1;0;-;1
velocity;1.5;org.apache.velocity.util.StringUtils;24;1;0;12;74;274;12;0;23;0.95652175;731;1.0;0;0.0;0.16847827;0;0;29.416666;16;4;-;1;0;-;1
velocity;1.5;org.apache.velocity.runtime.RuntimeConstants;0;1;0;5;0;0;5;0;0;2.0;53;0.0;0;0.0;0.0;0;0;0.0;33;4;-;1;5;-;7
velocity;1.5;org.apache.velocity.runtime.parser.node.ASTIntegerLiteral;5;2;0;8;13;0;4;6;5;0.25;62;1.0;0;0.9032258;0.43333334;0;0;11.2;0;0;-;1;0;-;1
velocity;1.5;org.apache.velocity.exception.ExtendedParseException;3;1;0;5;3;3;5;0;3;2.0;3;0.0;0;0.0;1.0;0;0;0.0;0;0;-;1;0;-;1
velocity;1.5;org.apache.velocity.runtime.VelocimacroFactory$Twonk;2;1;0;3;3;1;1;2;0;2.0;10;0.0;1;0.0;0.75;0;0;3.0;-;0;-;-;0;-;0
velocity;1.5;org.apache.velocity.app.event.EventHandler;0;1;0;16;0;0;16;0;0;2.0;0;0.0;0;0.0;0.0;0;0;0.0;2;2;-;1;0;-;0
velocity;1.5;org.apache.velocity.app.event.InvalidReferenceEventHandler;3;1;0;9;3;3;6;3;3;2.0;3;0.0;0;0.0;0.93333334;0;0;0.0;0;0;-;1;1;-;1
velocity;1.5;org.apache.velocity.app.event.NullSetEventHandler;1;1;0;4;1;0;3;1;1;2.0;1;0.0;0;0.0;1.0;0;0;0.0;2;1;-;1;0;-;1
velocity;1.5;org.apache.velocity.runtime.directive.Macro;10;2;0;13;39;43;2;11;7;0.7777778;276;1.0;0;0.46666667;0.24691358;0;0;26.5;16;3;-;1;2;-;3
velocity;1.5;org.apache.velocity.util.introspection.UberspectImpl$VelSetterImpl;5;1;0;3;10;0;1;2;4;0.25;37;1.0;1;0.0;0.46666667;0;0;6.2;-;0;-;-;0;-;0
velocity;1.5;org.apache.velocity.app.event.NullSetEventHandler$ShouldLogOnNullSetExecutor;4;1;0;6;8;0;1;5;3;0.46666667;67;1.0;1;0.0;0.4375;0;0;14.5;-;0;-;-;0;-;0
velocity;1.5;org.apache.velocity.runtime.resource.loader.StringResourceLoader$RepositoryFactory;6;1;0;5;19;0;1;4;4;0.3;135;1.0;1;0.0;0.26666668;0;0;21.166666;-;0;-;-;0;-;0
velocity;1.5;org.apache.velocity.app.event.implement.EscapeJavaScriptReference;3;2;0;2;6;3;0;2;1;2.0;12;0.0;0;0.71428573;0.6666667;1;2;3.0;0;0;-;1;0;-;1
velocity;1.5;org.apache.velocity.app.event.implement.IncludeRelativePath;2;1;0;1;10;1;0;1;2;2.0;42;0.0;0;0.0;0.75;0;0;20.0;0;0;-;1;0;-;1
velocity;1.5;org.apache.velocity.exception.MethodInvocationException;8;5;0;48;15;6;45;3;8;0.8095238;94;1.0;0;0.6666667;0.375;1;1;10.0;2;1;-;1;0;-;2
velocity;1.5;org.apache.velocity.util.RuntimeServicesAware;1;1;0;8;1;0;7;1;1;2.0;1;0.0;0;0.0;1.0;0;0;0.0;0;0;-;1;0;-;1
velocity;1.5;org.apache.velocity.runtime.parser.node.ASTParameters;3;2;0;3;6;3;0;3;3;2.0;17;0.0;0;0.9655172;0.53333336;0;0;4.6666665;3;2;-;1;0;-;0
velocity;1.5;org.apache.velocity.util.introspection.Uberspect;5;1;0;12;5;10;8;4;5;2.0;5;0.0;0;0.0;0.68;0;0;0.0;1;1;-;1;2;-;0
velocity;1.5;org.apache.velocity.util.introspection.VelPropertySet;3;1;0;4;3;3;4;0;3;2.0;3;0.0;0;0.0;0.6666667;0;0;0.0;1;1;-;1;0;-;0
velocity;1.5;org.apache.velocity.runtime.ParserPoolImpl;4;1;0;5;17;0;0;5;4;0.33333334;90;0.0;2;0.0;0.5;0;0;20.75;0;0;-;1;0;-;2
velocity;1.5;org.apache.velocity.runtime.directive.Literal;5;2;0;5;10;8;0;5;5;0.75;31;0.0;0;0.6363636;0.44;0;0;5.0;7;4;-;1;2;-;0
velocity;1.5;org.apache.velocity.texen.ant.TexenTask;22;3;0;12;84;177;0;12;20;0.9285714;565;1.0;0;0.63793105;0.3090909;1;1;24.136364;39;4;-;1;0;-;0
velocity;1.5;org.apache.velocity.util.introspection.Introspector;4;2;1;16;16;4;11;5;4;1.3333334;83;0.0;0;0.8;0.375;0;0;19.5;21;5;-;1;0;-;3
velocity;1.5;org.apache.velocity.anakia.AnakiaTask$Context;6;1;0;4;16;3;1;4;6;0.7;107;1.0;1;0.0;0.5;0;0;16.166666;-;0;-;-;0;-;0
velocity;1.5;org.apache.velocity.runtime.directive.VMProxyArg;11;1;0;13;40;0;2;11;10;0.6636364;580;1.0;3;0.0;0.24675325;0;0;50.727272;13;2;-;0;0;-;2
velocity;1.5;org.apache.velocity.runtime.parser.node.ASTGTNode;5;2;0;11;21;10;4;9;5;2.0;154;0.0;0;0.9032258;0.4;1;1;29.8;8;2;-;1;1;-;1
velocity;1.5;org.apache.velocity.runtime.parser.node.PutExecutor;3;2;0;4;14;0;1;3;2;0.25;108;1.0;1;0.6666667;0.6111111;0;0;34.333332;0;0;-;1;0;-;2
velocity;1.5;org.apache.velocity.util.ClassUtils;4;1;0;8;14;6;8;0;3;2.0;66;0.0;0;0.0;0.41666666;0;0;15.5;4;2;-;1;2;-;1
velocity;1.5;org.apache.velocity.context.VMContext;23;1;0;9;52;0;1;8;22;0.6727273;245;0.2;2;0.0;0.18695652;0;0;9.434783;9;2;-;0;0;-;5
velocity;1.5;org.apache.velocity.app.VelocityEngine;28;1;0;18;68;0;3;15;28;0.0;431;1.0;1;0.0;0.25;0;0;14.357142;6;1;-;1;2;-;3
velocity;1.5;org.apache.velocity.runtime.parser.VelocityCharStream;24;1;0;2;36;0;1;1;21;0.5043478;991;0.6666667;0;0.0;0.3125;0;0;39.666668;2;2;-;1;0;-;3
velocity;1.5;org.apache.velocity.util.introspection.IntrospectorCacheListener;3;1;0;4;3;3;3;1;3;2.0;3;0.0;0;0.0;0.7777778;0;0;0.0;0;0;-;0;0;-;1
velocity;1.5;org.apache.velocity.runtime.directive.Foreach$NullHolderContext;22;1;0;8;43;0;1;7;20;0.50793654;173;1.0;1;0.0;0.20707071;0;0;6.7272725;-;0;-;-;0;-;0
velocity;1.5;org.apache.velocity.runtime.directive.DirectiveConstants;0;1;0;1;0;0;1;0;0;2.0;2;0.0;0;0.0;0.0;0;0;0.0;4;2;-;1;0;-;0
velocity;1.5;org.apache.velocity.runtime.directive.MacroParseException;6;4;0;5;14;0;2;3;5;0.9;256;1.0;0;0.75;0.375;1;3;41.333332;1;1;-;1;1;-;2
velocity;1.5;org.apache.velocity.runtime.parser.node.ASTIncludeStatement;3;2;0;3;6;3;0;3;3;2.0;17;0.0;0;0.9655172;0.53333336;0;0;4.6666665;2;2;-;1;0;-;0
