Project;Version;Class;wmc;dit;noc;cbo;rfc;lcom;ca;ce;npm;lcom3;loc;dam;moa;mfa;cam;ic;cbm;amc;nr;ndc;nml;isOld;ndpv;ner;bugs
xalan;2.5.0;org.apache.xml.dtm.ref.DTMDefaultBaseIterators$NthDescendantIterator;2;4;0;3;9;0;1;2;2;0.0;66;0.5;1;0.95;0.6666667;1;1;31.0;-;0;-;-;0;-;0
xalan;2.5.0;org.apache.xpath.functions.FunctionMultiArgs$ArgMultiOwner;3;1;0;4;5;0;1;4;2;0.0;33;0.5;1;0.0;0.5;0;0;9.333333;-;0;-;-;0;-;0
xalan;2.5.0;org.apache.xml.dtm.ref.DTMAxisIterNodeList;5;2;0;5;12;0;1;4;4;0.4375;119;1.0;3;0.4;0.4;0;0;22.0;1;1;178;0;0;-;0
xalan;2.5.0;org.apache.xpath.axes.HasPositionalPredChecker;4;2;0;17;7;0;1;16;4;0.16666667;93;1.0;0;0.8;0.4;0;0;21.75;1;1;56;1;0;-;0
xalan;2.5.0;org.apache.xalan.transformer.CountersTable;5;3;0;7;23;8;3;5;2;0.875;198;0.5;1;0.9047619;0.44;0;0;38.2;2;1;11;1;0;-;1
xalan;2.5.0;org.apache.xml.serializer.ToStream$WritertoStringBuffer;6;2;0;1;10;3;1;1;5;0.7;40;1.0;1;0.7222222;0.33333334;1;2;5.3333335;-;0;-;-;0;-;0
xalan;2.5.0;org.apache.xml.dtm.DTMIterator;25;1;0;53;25;300;52;2;25;1.0416666;28;0.0;0;0.0;0.34;0;0;0.0;2;2;6;1;0;-;0
xalan;2.5.0;org.apache.xml.utils.res.XResources_cy;3;4;0;1;4;1;0;1;2;0.5;583;0.0;0;0.97619045;1.0;0;0;193.0;2;1;7;1;0;-;1
xalan;2.5.0;org.apache.xalan.xsltc.compiler.Whitespace;14;3;0;30;79;79;1;29;7;1.0307692;805;0.3;0;0.82191783;0.20714286;2;6;55.785713;2;1;28;1;0;-;0
xalan;2.5.0;org.apache.xalan.xpath.XRTreeFrag;9;2;0;3;22;0;0;3;9;0.5;67;0.0;2;0.71428573;0.4074074;1;1;6.2222223;0;0;-;1;0;-;0
xalan;2.5.0;org.apache.xalan.xsltc.cmdline.getopt.GetOpt$OptionMatcher;3;1;0;1;7;0;1;1;3;0.5;56;1.0;1;0.0;0.5833333;0;0;17.0;-;0;-;-;0;-;0
xalan;2.5.0;org.apache.xalan.xsltc.trax.Util;5;1;0;6;27;10;2;4;5;2.0;149;0.0;0;0.0;0.3;0;0;28.8;4;2;33;1;1;-;3
xalan;2.5.0;org.apache.xalan.xpath.xml.ProblemListenerDefault;13;2;0;3;36;0;1;2;13;0.083333336;369;0.0;1;0.5;0.23076923;0;0;27.307692;0;0;-;1;0;-;0
xalan;2.5.0;org.apache.xalan.xsltc.runtime.MessageHandler;2;1;1;3;4;1;3;0;2;2.0;9;0.0;0;0.0;0.75;0;0;3.5;1;1;2;1;0;-;0
xalan;2.5.0;org.apache.xml.dtm.DTM;66;1;0;94;66;2145;91;3;66;1.0153847;82;0.0;0;0.0;0.27705628;0;0;0.0;3;1;11;1;0;-;1
xalan;2.5.0;org.apache.xalan.xpath.XString;10;2;0;6;22;0;2;4;10;0.11111111;78;0.0;1;0.6896552;0.28;1;1;6.7;0;0;-;1;0;-;0
xalan;2.5.0;org.apache.xalan.xsltc.compiler.Constants;0;1;0;6;0;0;5;1;0;2.0;203;0.0;0;0.0;0.0;0;0;0.0;8;3;563;1;0;-;1
xalan;2.5.0;org.apache.xalan.xsltc.compiler.util.ErrorMsg;16;1;0;52;31;0;52;2;12;1.0248367;470;0.04901961;0;0.0;0.41111112;0;0;22.0;6;2;310;1;0;-;2
