Project;Version;Class;wmc;dit;noc;cbo;rfc;lcom;ca;ce;npm;lcom3;loc;dam;moa;mfa;cam;ic;cbm;amc;nr;ndc;nml;isOld;ndpv;ner;bugs
xerces;1.3.0;org.apache.xerces.dom.DeferredElementDefinitionImpl;4;3;0;6;13;0;1;6;1;0.6666667;84;0.5;0;0.94;0.5;2;7;19.5;0;0;-;1;0;-;2
xerces;1.3.0;org.apache.wml.WMLIElement;2;1;0;2;2;1;1;1;2;2.0;2;0.0;0;0.0;0.75;0;0;0.0;0;0;-;1;0;-;0
xerces;1.3.0;org.w3c.dom.Attr;5;1;0;0;5;10;0;0;5;2.0;5;0.0;0;0.0;0.6;0;0;0.0;2;1;122;1;2;-;0
xerces;1.3.0;org.apache.xerces.readers.XMLEntityHandler;10;1;0;22;10;45;20;2;10;1.1111112;51;0.0;0;0.0;0.3;0;0;0.0;0;0;-;1;0;-;0
xerces;1.3.0;org.apache.xerces.validators.schema.identity.XPath$LocationPath;4;1;0;4;11;0;3;1;3;0.0;74;0.0;1;0.0;0.5;0;0;17.25;-;0;-;-;0;-;0
xerces;1.3.0;org.apache.xerces.dom.DeferredDocumentImpl$IntVector;6;1;0;1;8;3;1;0;4;0.6;74;1.0;0;0.0;0.75;0;0;11.0;-;0;-;-;0;-;0
xerces;1.3.0;org.apache.wml.dom.WMLTimerElementImpl;9;4;0;3;12;36;0;3;9;2.0;50;0.0;0;0.9111111;0.5555556;1;5;4.5555553;0;0;-;1;0;-;0
xerces;1.3.0;org.apache.html.dom.HTMLTableCaptionElementImpl;3;4;0;3;6;3;1;2;3;2.0;17;0.0;0;0.9791667;0.6666667;0;0;4.6666665;2;1;2;1;0;-;0
xerces;1.3.0;org.apache.xerces.dom.DeferredDocumentTypeImpl;4;3;0;7;28;0;1;7;1;0.6666667;176;0.5;0;0.94736844;0.5;2;5;42.5;0;0;-;1;0;-;3
xerces;1.3.0;org.apache.xerces.dom.DocumentTypeImpl;15;4;1;9;27;57;6;4;14;0.8214286;200;0.875;3;0.8586956;0.38333333;2;8;11.8;2;1;9;1;0;-;0
xerces;1.3.0;org.apache.xerces.dom.AttributeMap;11;2;0;7;49;25;1;7;5;2.0;760;0.0;0;0.54545456;0.32467532;1;9;68.09091;6;2;144;1;2;-;2
